profile_id,archetype,algorithm,pop_size,n_gen,instrumented,condition,rep,seconds
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,0,6.9281428750255145
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,1,6.361047916987445
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,2,6.367653249995783
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,3,6.552932916034479
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,4,6.326494292006828
STU_0287,comfort_seeking,nsga3,170,150,False,bare,0,5.148124540981371
STU_0287,comfort_seeking,nsga3,170,150,False,bare,1,5.137472584028728
STU_0287,comfort_seeking,nsga3,170,150,False,bare,2,5.004530375008471
STU_0287,comfort_seeking,nsga3,170,150,False,bare,3,4.59514945797855
STU_0287,comfort_seeking,nsga3,170,150,False,bare,4,4.395943375013303
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,0,1.151736916974187
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,1,1.2106110000167973
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,2,1.2065527090453543
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,3,1.147016957984306
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,4,1.527467624982819
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,0,5.5479982499964535
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,1,5.431329832994379
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,2,5.357634625048377
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,3,5.596265958040021
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,4,5.391261750017293
STU_0287,comfort_seeking,nsga2,168,150,False,bare,0,4.458005250024144
STU_0287,comfort_seeking,nsga2,168,150,False,bare,1,3.8172191249905154
STU_0287,comfort_seeking,nsga2,168,150,False,bare,2,4.178924541978631
STU_0287,comfort_seeking,nsga2,168,150,False,bare,3,3.8012793749803677
STU_0287,comfort_seeking,nsga2,168,150,False,bare,4,3.626643125026021
