profile_id,archetype,trip_distance_bin,distance_km,age,budget_eur,rain,temperature_c,mobility_restriction
P024,comfort_seeking,long,1.4206825814806558,18.55042373021932,3.650380466354772,0,13.569739593453436,0
P116,comfort_seeking,medium,7.9035041409722355,18.0,2.9632777335909735,0,23.50180074609549,0
P100,comfort_seeking,short,3.243305979039076,29.85692799733534,6.289408850343303,1,19.593573853559104,1
P069,cost_sensitive,long,3.472858361656222,28.79523308486442,5.432906790876314,0,16.89537483143075,1
P065,cost_sensitive,medium,1.8747169498638703,23.80581153532198,5.897348098330223,0,24.621489058141535,0
P133,cost_sensitive,short,3.446367735024268,32.58298509193101,5.225800955498791,0,21.26881087913689,0
P015,eco_conscious,long,1.2883508439779232,25.241972523655207,3.6351986792503643,0,3.418403101164781,1
P107,eco_conscious,medium,4.112542600624077,34.56207505995636,5.034412497635259,1,9.993240244512439,0
P031,eco_conscious,short,1.0526364905220869,30.30328756282331,5.186473852568493,0,12.692456811803899,0
P018,time_sensitive,long,3.918867801166139,21.64095031012244,3.9247305747338546,1,9.76405832748958,0
