profile_id,archetype,trip_distance_bin,distance_km,age,budget_eur,rain,temperature_c,mobility_restriction
P001,cost_sensitive,short,0.9800079468797522,31.0531583706452,6.788677659669457,0,3.5825639451014553,0
P002,time_sensitive,medium,7.3418787038282085,25.68239189746998,4.636347286911704,0,20.222335483431586,0
P003,eco_conscious,long,4.033754671126022,19.784952759817333,6.102500940898999,0,21.02760241045818,0
P004,comfort_seeking,short,7.40756881822737,21.03349318917241,7.1270496064088364,1,10.573377422695142,0
P005,cost_sensitive,medium,3.982722032182039,28.689128281171918,6.176985203609459,1,10.748679868923075,0
P006,time_sensitive,long,3.3931136358760607,30.11185595802847,7.0147667512650695,0,7.278748184299776,0
P007,eco_conscious,short,4.171627085601721,29.602079878136365,4.861388351253567,1,14.933486473125825,0
P008,comfort_seeking,medium,7.935714388974095,27.365168841422776,6.474696275686274,0,16.312955189519872,0
P009,cost_sensitive,long,3.640164391821349,22.50739141995043,4.89334658210799,0,25.959530489875167,0
P010,time_sensitive,short,7.984139177295741,18.0,5.25813796401707,0,18.689778650874224,0
P011,eco_conscious,medium,7.325637463875781,22.56353745134803,6.6895710575085845,0,3.794509413296625,0
P012,comfort_seeking,long,1.0402738569991943,29.280125208376347,5.8309108832846785,0,10.581978829307726,0
P013,cost_sensitive,short,7.345326730139881,28.99742666290188,4.865688870720018,0,10.946096848013367,0
P014,time_sensitive,medium,4.043486240392791,22.514183618580933,5.674992942473225,0,17.572249408239554,0
P015,eco_conscious,long,1.2883508439779232,25.241972523655207,3.6351986792503643,0,3.418403101164781,1
P016,comfort_seeking,short,3.999887113361718,19.461646612479576,5.206204935152733,1,11.149888231508593,0
P017,cost_sensitive,medium,7.397281221066185,19.14984561562593,5.253160308919325,0,0.1814366144612105,0
P018,time_sensitive,long,3.918867801166139,21.64095031012244,3.9247305747338546,1,9.76405832748958,0
P019,eco_conscious,short,2.3008894456604576,24.12451060768883,4.4318030088537625,0,15.75997347177412,0
P020,comfort_seeking,medium,4.217555622957289,28.298097414046566,7.415963469463474,0,8.881987738002017,1
P021,cost_sensitive,long,6.811656926221845,30.24605662770083,5.393332763481472,1,5.875367350339667,0
P022,time_sensitive,short,4.21906328394719,39.777116241842506,9.156634959208795,1,6.083695039745087,0
P023,eco_conscious,medium,7.093529452344837,22.892499178742202,4.92548384112823,0,22.52784184630115,0
P024,comfort_seeking,long,1.4206825814806558,18.55042373021932,3.650380466354772,0,13.569739593453436,0
P025,cost_sensitive,short,7.991369755511529,22.304930810225937,4.238067480299571,0,8.198191483713973,0
P026,time_sensitive,medium,7.089306660387807,31.669424426154414,4.576487386295568,1,17.079607728846906,0
P027,eco_conscious,long,7.172606152285304,28.922505410374566,5.1140198235910646,0,3.7764994054430456,0
