generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,5400.149124456766,,0.5424278812942785,0.3,3,10,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
2,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
3,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
4,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
5,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
6,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
7,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
8,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
9,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
10,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,4023049542,0.0928214589948766,Darwin,3.11.7,4023049542
