generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,,,,0.0,0,11,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
2,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
3,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
4,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
5,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
6,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
7,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
8,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
9,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
10,,,,0.0,0,20,STU_0327,nsga2,812920151,0.0757669999729842,Darwin,3.11.7,812920151
