generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,,,,0.0,0,7,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
2,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
3,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
4,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
5,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
6,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
7,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
8,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
9,,,,0.0,0,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
10,3682.692830289636,,,0.05,1,20,STU_0327,pi_nsga3,3551371229,0.0809008750366047,Darwin,3.11.7,3551371229
