generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,,,,0.0,0,9,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
2,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
3,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
4,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
5,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
6,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
7,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
8,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
9,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
10,,,,0.0,0,20,STU_0327,pi_nsga3,931358461,0.12592754198703915,Darwin,3.11.7,931358461
