generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,4536.54984928979,,4.55055080284671,0.3,3,10,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
2,4548.0729853628145,,0.9710567228431545,0.35,7,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
3,4548.0729853628145,,0.6930858598598422,0.4,8,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
4,4579.512544048144,,0.9342174024637848,0.5,10,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
5,4579.512544048144,,0.9342174024637848,0.5,10,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
6,4579.512544048144,,0.8900595697651535,0.55,11,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
7,4579.512544048144,,0.8900595697651535,0.55,11,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
8,4579.512544048144,,0.8900595697651535,0.55,11,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
9,4579.524649088855,,0.763969328628625,0.6,12,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
10,4584.635847062036,,0.7415464128138803,0.65,13,20,STU_0598,pi_nsga3,3293540624,0.11693316698074341,Darwin,3.11.7,3293540624
