generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,5398.39880921015,,0.0,0.2857142857142857,2,7,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
2,5398.39880921015,,0.0,0.1,2,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
3,5398.39880921015,,0.0,0.1,2,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
4,5398.39880921015,,0.0,0.1,2,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
5,5398.39880921015,,0.0,0.1,2,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
6,5398.39880921015,,0.0,0.1,2,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
7,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
8,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
9,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
10,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,3072361003,0.09734804200707003,Darwin,3.11.7,3072361003
