generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,,,,0.0,0,7,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
2,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
3,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
4,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
5,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
6,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
7,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
8,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
9,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
10,,,,0.0,0,20,STU_0327,nsga2,1019265506,0.1194319169735536,Darwin,3.11.7,1019265506
