generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,4501.932161454811,,0.0,0.5,2,4,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
2,4548.129557665576,,0.6482677117980118,0.5,10,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
3,4559.150668665217,,0.6296698940475502,0.6,12,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
4,4564.205294335638,,0.39502019981199965,0.75,15,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
5,4569.63845403637,,0.7508754739964976,0.85,17,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
6,4569.63845403637,,0.7100167261599627,0.95,19,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
7,4569.63845403637,,0.7100167261599627,0.95,19,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
8,4569.63845403637,,0.7100167261599627,0.95,19,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
9,4569.63845403637,,0.7100167261599627,0.95,19,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
10,4569.63845403637,,0.7100167261599627,0.95,19,20,STU_0598,pi_nsga3,778556616,0.12741337501211092,Darwin,3.11.7,778556616
