generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,5400.149124456766,,0.5424278812942785,0.2727272727272727,3,11,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
2,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
3,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
4,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
5,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
6,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
7,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
8,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
9,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
10,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,nsga2,3675747774,0.09492016601143405,Darwin,3.11.7,3675747774
