profile_id,moead,nsga2,nsga3,smsemoa
STU_0023,0.1837631943024804,0.9547666516081332,0.9865267969551763,0.9494991831025832
STU_0027,0.13871630434526616,0.9932650819194542,0.989528521114714,0.9831435026823396
STU_0030,0.16989656695406047,0.9210423438470692,0.9948474107414439,0.9729209263851889
STU_0036,0.343775638872215,0.9774472908457443,0.9956307538814725,0.8949076593453805
STU_0076,0.21154544818302862,0.9609376934755588,0.9963601563173382,0.8564293852292687
STU_0081,0.35749602488495097,0.9827596755461201,0.9980835844575326,0.9262969510628156
STU_0127,0.3196470411435352,0.9442066818193148,0.9952956247575683,0.9645909540305514
STU_0132,0.13497605688493478,0.9744898918958336,0.993862918278549,0.9823320139534918
STU_0171,0.24854499017962733,0.9688004432387303,0.9832276055916427,0.9421509966265095
STU_0175,0.28454890215738365,0.9908803633367309,0.9863679293412174,0.9845203226896597
STU_0182,0.18770546019936957,0.9875483607175702,0.9931455417011344,0.9794789910541418
STU_0197,0.32481809255325444,0.9546976457099603,0.9966852526952209,0.9741588719801879
STU_0217,0.13861922026514567,0.9881821798713902,0.9949797625521952,0.9824074116867519
STU_0242,0.20386953198319321,0.9475652136793842,0.9843869723391971,0.9520085412652428
STU_0243,0.31126464604197346,0.9798599053943328,0.9921814347681182,0.9362341873106326
STU_0244,0.30088000065825515,0.9530194700954032,0.9785224432370458,0.9588295254172887
STU_0260,0.15623827512133506,0.9533981446722948,0.9922070221375927,0.9553648307655391
STU_0287,0.3490432295420071,0.9642305202620214,0.9916978602316388,0.927812203098561
STU_0302,0.38140198152000054,0.9939097815096007,0.988269345620707,0.9700667674398689
STU_0346,0.36244615298410865,0.9943824979739875,0.987381496214349,0.9881837089007958
STU_0365,0.33169940509552753,0.9803942681389332,0.9892147437283049,0.9520652858991804
STU_0368,0.449022212972903,0.9617729410204365,0.9918534912227596,0.9295841570888331
STU_0390,0.41544927060258596,0.9641528207201617,0.9874489982742147,0.9470049857102157
STU_0433,0.3946476893463416,0.9528003188422678,0.9931710811337615,0.8845050052312395
STU_0436,0.377287144514452,0.9805797313706048,0.9902634301099468,0.9419686047521063
STU_0522,0.2505598979766889,0.9778124452263277,0.992754627088569,0.985601886647253
STU_0597,0.3001977858625839,0.9937696870857895,0.9840436978837799,0.9849347026798301
STU_0598,0.3568536840832136,0.9800539426292441,0.9926461426171815,0.9814492072168667
STU_0618,0.39547304300899266,0.9931986257869229,0.9887590905001629,0.967059119855428
STU_0716,0.5469564041365199,0.9972945813928457,0.9890554117681599,0.9744737538408359
