profile_id,algorithm,pop_size,config,normalized_hv
STU_0030,nsga2,120,sweep,0.96974271347521
STU_0030,nsga2,140,sweep,0.9707082003451732
STU_0030,nsga2,150,sweep,0.9554003834868574
STU_0030,nsga2,160,sweep,0.9711864604974615
STU_0030,nsga2,168,sweep,0.9862680610981549
STU_0030,nsga2,170,sweep,0.9829256537462413
STU_0030,nsga2,180,sweep,0.9829622663568738
STU_0030,nsga2,200,sweep,0.9777558017669534
STU_0036,nsga2,120,sweep,0.9662516921049041
STU_0036,nsga2,140,sweep,0.9714914421239325
STU_0036,nsga2,150,sweep,0.9717264793171422
STU_0036,nsga2,160,sweep,0.97117660187943
STU_0036,nsga2,168,sweep,0.9750771335978513
STU_0036,nsga2,170,sweep,0.9743482139722071
STU_0036,nsga2,180,sweep,0.9731786982765639
STU_0036,nsga2,200,sweep,0.9760184958027665
STU_0081,nsga2,120,sweep,0.9679892820558187
STU_0081,nsga2,140,sweep,0.9729666999828689
STU_0081,nsga2,150,sweep,0.9786209302267744
STU_0081,nsga2,160,sweep,0.9709683518621481
STU_0081,nsga2,168,sweep,0.9748541071457695
STU_0081,nsga2,170,sweep,0.9807216138863868
STU_0081,nsga2,180,sweep,0.9808102803814365
STU_0081,nsga2,200,sweep,0.9829368552574091
STU_0132,nsga2,120,sweep,0.954082499749726
STU_0132,nsga2,140,sweep,0.9721573419253181
STU_0132,nsga2,150,sweep,0.9635468722200027
STU_0132,nsga2,160,sweep,0.9721322807505285
STU_0132,nsga2,168,sweep,0.9738232690551356
STU_0132,nsga2,170,sweep,0.9682266984464702
STU_0132,nsga2,180,sweep,0.9770032677689565
STU_0132,nsga2,200,sweep,0.9802622237510953
STU_0182,nsga2,120,sweep,0.9649378996447553
STU_0182,nsga2,140,sweep,0.9757303729009543
STU_0182,nsga2,150,sweep,0.9777409871837083
STU_0182,nsga2,160,sweep,0.974122180378324
STU_0182,nsga2,168,sweep,0.980234219277337
STU_0182,nsga2,170,sweep,0.9757889054304432
STU_0182,nsga2,180,sweep,0.9739191862256211
STU_0182,nsga2,200,sweep,0.9817368858786523
STU_0242,nsga2,120,sweep,0.9360610599133231
STU_0242,nsga2,140,sweep,0.9513784617878226
STU_0242,nsga2,150,sweep,0.9395959090915241
STU_0242,nsga2,160,sweep,0.9536437776687956
STU_0242,nsga2,168,sweep,0.9608653274412247
STU_0242,nsga2,170,sweep,0.950619579621444
STU_0242,nsga2,180,sweep,0.966312786603434
STU_0242,nsga2,200,sweep,0.9762315989594169
STU_0287,nsga2,120,sweep,0.9557675292659242
STU_0287,nsga2,140,sweep,0.9696894501650798
STU_0287,nsga2,150,sweep,0.9757246273027409
STU_0287,nsga2,160,sweep,0.9753392178058355
STU_0287,nsga2,168,sweep,0.9771181459557768
STU_0287,nsga2,170,sweep,0.9794534886250226
STU_0287,nsga2,180,sweep,0.9839211769709479
STU_0287,nsga2,200,sweep,0.9832444922609327
STU_0346,nsga2,120,sweep,0.9603631069514706
STU_0346,nsga2,140,sweep,0.9654658372776532
STU_0346,nsga2,150,sweep,0.966230426316424
STU_0346,nsga2,160,sweep,0.9724221039738887
STU_0346,nsga2,168,sweep,0.9625722815935713
STU_0346,nsga2,170,sweep,0.9763557024540758
STU_0346,nsga2,180,sweep,0.9786430569373664
STU_0346,nsga2,200,sweep,0.9756638405928827
STU_0598,nsga2,120,sweep,0.9547425125193216
STU_0598,nsga2,140,sweep,0.9604397785136378
STU_0598,nsga2,150,sweep,0.9635849922293144
STU_0598,nsga2,160,sweep,0.9715607405857819
STU_0598,nsga2,168,sweep,0.9660549783246595
STU_0598,nsga2,170,sweep,0.9659484999899346
STU_0598,nsga2,180,sweep,0.9603184016560841
STU_0598,nsga2,200,sweep,0.9701952378713745
STU_0618,nsga2,120,sweep,0.9705705790104375
STU_0618,nsga2,140,sweep,0.9803876243678651
STU_0618,nsga2,150,sweep,0.9897971601374446
STU_0618,nsga2,160,sweep,0.9796328818511453
STU_0618,nsga2,168,sweep,0.9794036544770781
STU_0618,nsga2,170,sweep,0.9736634407273153
STU_0618,nsga2,180,sweep,0.9863844052911988
STU_0618,nsga2,200,sweep,0.9897788604784784
