profile_id,algorithm,pop_size,config,normalized_hv
STU_0023,nsga2,168,as_published,0.9591584700398996
STU_0023,nsga2,170,equalized,0.9674887959350841
STU_0023,nsga3,170,as_published,0.9919551913758461
STU_0023,nsga3,170,equalized,0.9919551913758461
STU_0027,nsga2,168,as_published,0.9915941152042576
STU_0027,nsga2,170,equalized,0.9874399176343521
STU_0027,nsga3,170,as_published,0.9954196864023942
STU_0027,nsga3,170,equalized,0.9954196864023942
STU_0030,nsga2,168,as_published,0.9794268835669673
STU_0030,nsga2,170,equalized,0.9838464486602279
STU_0030,nsga3,170,as_published,0.9933467109509488
STU_0030,nsga3,170,equalized,0.9933467109509488
STU_0036,nsga2,168,as_published,0.9740901804701801
STU_0036,nsga2,170,equalized,0.9724025313989705
STU_0036,nsga3,170,as_published,0.9970807496596071
STU_0036,nsga3,170,equalized,0.9970807496596071
STU_0076,nsga2,168,as_published,0.9506688929544044
STU_0076,nsga2,170,equalized,0.9489183099310733
STU_0076,nsga3,170,as_published,0.9964078363457677
STU_0076,nsga3,170,equalized,0.9964078363457677
STU_0081,nsga2,168,as_published,0.9770987807839793
STU_0081,nsga2,170,equalized,0.9774558263593267
STU_0081,nsga3,170,as_published,0.9969045718340087
STU_0081,nsga3,170,equalized,0.9969045718340087
STU_0127,nsga2,168,as_published,0.9579461067591026
STU_0127,nsga2,170,equalized,0.9576003985949615
STU_0127,nsga3,170,as_published,0.9943731191039946
STU_0127,nsga3,170,equalized,0.9943731191039946
STU_0132,nsga2,168,as_published,0.9717663457939517
STU_0132,nsga2,170,equalized,0.9730502752809397
STU_0132,nsga3,170,as_published,0.9903656702098536
STU_0132,nsga3,170,equalized,0.9903656702098536
STU_0171,nsga2,168,as_published,0.9869058406649038
STU_0171,nsga2,170,equalized,0.988154733840517
STU_0171,nsga3,170,as_published,0.9917492987933494
STU_0171,nsga3,170,equalized,0.9917492987933494
STU_0175,nsga2,168,as_published,0.9700195895746733
STU_0175,nsga2,170,equalized,0.9640626848815709
STU_0175,nsga3,170,as_published,0.9916195660223875
STU_0175,nsga3,170,equalized,0.9916195660223875
STU_0182,nsga2,168,as_published,0.9734231129370763
STU_0182,nsga2,170,equalized,0.9765369247061676
STU_0182,nsga3,170,as_published,0.9877099651120609
STU_0182,nsga3,170,equalized,0.9877099651120609
STU_0197,nsga2,168,as_published,0.9555438654502414
STU_0197,nsga2,170,equalized,0.9635008642154649
STU_0197,nsga3,170,as_published,0.9942948661779496
STU_0197,nsga3,170,equalized,0.9942948661779496
STU_0217,nsga2,168,as_published,0.9910412202234363
STU_0217,nsga2,170,equalized,0.9917818429569941
STU_0217,nsga3,170,as_published,0.9933016438581689
STU_0217,nsga3,170,equalized,0.9933016438581689
STU_0242,nsga2,168,as_published,0.9622881346290262
STU_0242,nsga2,170,equalized,0.9527181812109354
STU_0242,nsga3,170,as_published,0.9943361821185798
STU_0242,nsga3,170,equalized,0.9943361821185798
STU_0243,nsga2,168,as_published,0.9883885668632614
STU_0243,nsga2,170,equalized,0.9844615523964826
STU_0243,nsga3,170,as_published,0.9945251898783527
STU_0243,nsga3,170,equalized,0.9945251898783527
STU_0244,nsga2,168,as_published,0.9803827212093077
STU_0244,nsga2,170,equalized,0.9804757422844315
STU_0244,nsga3,170,as_published,0.9958272617744519
STU_0244,nsga3,170,equalized,0.9958272617744519
STU_0260,nsga2,168,as_published,0.981373381988995
STU_0260,nsga2,170,equalized,0.9820706887692732
STU_0260,nsga3,170,as_published,0.9931065443421652
STU_0260,nsga3,170,equalized,0.9931065443421652
STU_0287,nsga2,168,as_published,0.9754380709345682
STU_0287,nsga2,170,equalized,0.9818634757230184
STU_0287,nsga3,170,as_published,0.9976109321050485
STU_0287,nsga3,170,equalized,0.9976109321050485
STU_0302,nsga2,168,as_published,0.9602003796926686
STU_0302,nsga2,170,equalized,0.9638277751520541
STU_0302,nsga3,170,as_published,0.9934737067430621
STU_0302,nsga3,170,equalized,0.9934737067430621
STU_0346,nsga2,168,as_published,0.9673276728254908
STU_0346,nsga2,170,equalized,0.9742729372978157
STU_0346,nsga3,170,as_published,0.9922944200206919
STU_0346,nsga3,170,equalized,0.9922944200206919
