experiment,algorithm,pop_size,config,seed,effective_pop,n_feasible,runtime_s,profile_id,archetype,hypervolume,max_hv_profile,normalized_hv,normalization_scheme
equalization,nsga2,170,equalized,0,170,170,1.977029292997031,STU_0287,comfort_seeking,0.0003449831209188,0.000350444926724,0.9844146529490226,union_observed_max_per_profile
equalization,nsga2,170,equalized,1,170,170,1.9717087509998237,STU_0287,comfort_seeking,0.0003414392489906,0.000350444926724,0.9743021597783468,union_observed_max_per_profile
equalization,nsga2,170,equalized,2,170,170,2.0740303759994276,STU_0287,comfort_seeking,0.0003437693604703,0.000350444926724,0.9809511688009994,union_observed_max_per_profile
equalization,nsga2,170,equalized,3,170,170,2.0151951260013448,STU_0287,comfort_seeking,0.0003409017643485,0.000350444926724,0.972768439067478,union_observed_max_per_profile
equalization,nsga2,170,equalized,4,170,170,1.8975082090000797,STU_0287,comfort_seeking,0.0003451290355258,0.000350444926724,0.9848310225292662,union_observed_max_per_profile
equalization,nsga2,170,equalized,5,170,170,1.878741335000086,STU_0287,comfort_seeking,0.0003440548089748,0.000350444926724,0.981765700508444,union_observed_max_per_profile
equalization,nsga2,170,equalized,6,170,170,1.8868900839988785,STU_0287,comfort_seeking,0.0003477950863636,0.000350444926724,0.9924386396882552,union_observed_max_per_profile
equalization,nsga2,170,equalized,7,170,170,1.8971864170016488,STU_0287,comfort_seeking,0.0003415827581132,0.000350444926724,0.9747116652717,union_observed_max_per_profile
equalization,nsga2,170,equalized,8,170,170,1.8474144179999712,STU_0287,comfort_seeking,0.0003461123783796,0.000350444926724,0.9876370065193308,union_observed_max_per_profile
equalization,nsga2,170,equalized,9,170,170,1.845891250999557,STU_0287,comfort_seeking,0.0003451231759423,0.000350444926724,0.984814302117341,union_observed_max_per_profile
equalization,nsga3,170,equalized,0,170,170,2.2150736680014234,STU_0287,comfort_seeking,0.000348860703516,0.000350444926724,0.9954793946573096,union_observed_max_per_profile
equalization,nsga3,170,equalized,1,170,170,2.274282835001941,STU_0287,comfort_seeking,0.0003501414789608,0.000350444926724,0.9991341071303624,union_observed_max_per_profile
equalization,nsga3,170,equalized,2,170,170,2.2401265429980413,STU_0287,comfort_seeking,0.0003493033712986,0.000350444926724,0.9967425539982244,union_observed_max_per_profile
equalization,nsga3,170,equalized,3,170,170,2.248927584998455,STU_0287,comfort_seeking,0.0003497984694147,0.000350444926724,0.998155324103748,union_observed_max_per_profile
equalization,nsga3,170,equalized,4,170,170,2.2693886260021827,STU_0287,comfort_seeking,0.0003494009079009,0.000350444926724,0.997020876196221,union_observed_max_per_profile
equalization,nsga3,170,equalized,5,170,170,2.230429417999403,STU_0287,comfort_seeking,0.0003500068924777,0.000350444926724,0.9987500625264648,union_observed_max_per_profile
equalization,nsga3,170,equalized,6,170,170,2.3567215429975477,STU_0287,comfort_seeking,0.0003500869342822,0.000350444926724,0.99897846304933,union_observed_max_per_profile
equalization,nsga3,170,equalized,7,170,170,2.2534826260016416,STU_0287,comfort_seeking,0.000350444926724,0.000350444926724,1.0,union_observed_max_per_profile
equalization,nsga3,170,equalized,8,170,170,2.2695500430018,STU_0287,comfort_seeking,0.0003478407338354,0.000350444926724,0.9925688954525744,union_observed_max_per_profile
equalization,nsga3,170,equalized,9,170,170,2.2560300849982013,STU_0287,comfort_seeking,0.0003501924815961,0.000350444926724,0.999279643936251,union_observed_max_per_profile
equalization,nsga2,168,as_published,0,168,168,1.9230797510026605,STU_0287,comfort_seeking,0.0003407403168142,0.000350444926724,0.9723077460399808,union_observed_max_per_profile
equalization,nsga2,168,as_published,1,168,168,1.864480584001285,STU_0287,comfort_seeking,0.0003430035029127,0.000350444926724,0.9787657824557344,union_observed_max_per_profile
equalization,nsga2,168,as_published,2,168,168,1.9507754590013064,STU_0287,comfort_seeking,0.0003415789080785,0.000350444926724,0.9747006791384124,union_observed_max_per_profile
equalization,nsga2,168,as_published,3,168,168,1.879742459001136,STU_0287,comfort_seeking,0.0003407548161364,0.000350444926724,0.9723491200793956,union_observed_max_per_profile
equalization,nsga2,168,as_published,4,168,168,1.8854839589985204,STU_0287,comfort_seeking,0.0003460529413592,0.000350444926724,0.9874674020653612,union_observed_max_per_profile
equalization,nsga2,168,as_published,5,168,168,1.889091876000748,STU_0287,comfort_seeking,0.0003394159993658,0.000350444926724,0.9685287857884716,union_observed_max_per_profile
