profile_id,archetype,algorithm,pop_size,n_gen,instrumented,condition,rep,seconds
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,0,5.747838791983668
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,1,5.72059075004654
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,2,6.169078125036322
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,3,6.032178708002903
STU_0287,comfort_seeking,nsga3,170,150,True,instrumented,4,5.978631375008263
STU_0287,comfort_seeking,nsga3,170,150,False,bare,0,3.765446832985617
STU_0287,comfort_seeking,nsga3,170,150,False,bare,1,3.787920583039522
STU_0287,comfort_seeking,nsga3,170,150,False,bare,2,3.6785326250246726
STU_0287,comfort_seeking,nsga3,170,150,False,bare,3,3.6756706669693813
STU_0287,comfort_seeking,nsga3,170,150,False,bare,4,3.7092157499864697
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,0,0.923754999996163
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,1,0.9722552910097875
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,2,0.8885363749577664
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,3,0.9829189159790985
STU_0287,comfort_seeking,nsga3,170,40,False,bare_truncated,4,0.9451765000121668
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,0,4.792368957947474
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,1,4.548146458051633
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,2,4.937422582996078
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,3,5.174149625003338
STU_0287,comfort_seeking,nsga2,168,150,True,instrumented,4,4.887653624988161
STU_0287,comfort_seeking,nsga2,168,150,False,bare,0,3.4716235419618897
STU_0287,comfort_seeking,nsga2,168,150,False,bare,1,3.4368440830148757
STU_0287,comfort_seeking,nsga2,168,150,False,bare,2,3.605211791989859
STU_0287,comfort_seeking,nsga2,168,150,False,bare,3,3.5281977089471184
STU_0287,comfort_seeking,nsga2,168,150,False,bare,4,3.615112792002037
STU_0544,comfort_seeking,nsga3,170,150,True,instrumented,0,9.31374529202003
STU_0544,comfort_seeking,nsga3,170,150,True,instrumented,1,9.724371083022561
STU_0544,comfort_seeking,nsga3,170,150,True,instrumented,2,9.81326129095396
STU_0544,comfort_seeking,nsga3,170,150,True,instrumented,3,9.31251204200089
STU_0544,comfort_seeking,nsga3,170,150,True,instrumented,4,8.963564457953908
STU_0544,comfort_seeking,nsga3,170,150,False,bare,0,4.577358999988064
STU_0544,comfort_seeking,nsga3,170,150,False,bare,1,4.050410332973115
STU_0544,comfort_seeking,nsga3,170,150,False,bare,2,4.024908999970648
STU_0544,comfort_seeking,nsga3,170,150,False,bare,3,3.9493600410060026
STU_0544,comfort_seeking,nsga3,170,150,False,bare,4,3.8574177919654176
STU_0544,comfort_seeking,nsga3,170,40,False,bare_truncated,0,1.0585136670270003
STU_0544,comfort_seeking,nsga3,170,40,False,bare_truncated,1,1.0311076669604518
STU_0544,comfort_seeking,nsga3,170,40,False,bare_truncated,2,1.015549874980934
STU_0544,comfort_seeking,nsga3,170,40,False,bare_truncated,3,1.0999646660056897
STU_0544,comfort_seeking,nsga3,170,40,False,bare_truncated,4,0.9657487090444192
STU_0544,comfort_seeking,nsga2,168,150,True,instrumented,0,6.898058666964062
STU_0544,comfort_seeking,nsga2,168,150,True,instrumented,1,7.820703915960621
STU_0544,comfort_seeking,nsga2,168,150,True,instrumented,2,7.348351208958775
STU_0544,comfort_seeking,nsga2,168,150,True,instrumented,3,7.4026341660064645
STU_0544,comfort_seeking,nsga2,168,150,True,instrumented,4,7.701303875015583
STU_0544,comfort_seeking,nsga2,168,150,False,bare,0,3.569662583002355
STU_0544,comfort_seeking,nsga2,168,150,False,bare,1,3.2288554160040803
STU_0544,comfort_seeking,nsga2,168,150,False,bare,2,3.2699924169573933
STU_0544,comfort_seeking,nsga2,168,150,False,bare,3,3.2424768750206567
STU_0544,comfort_seeking,nsga2,168,150,False,bare,4,3.487965333973989
STU_0045,cost_sensitive,nsga3,170,150,True,instrumented,0,14.914262250007596
STU_0045,cost_sensitive,nsga3,170,150,True,instrumented,1,12.043411583988927
STU_0045,cost_sensitive,nsga3,170,150,True,instrumented,2,11.460759666981176
STU_0045,cost_sensitive,nsga3,170,150,True,instrumented,3,13.934192750020884
STU_0045,cost_sensitive,nsga3,170,150,True,instrumented,4,14.062008792010602
STU_0045,cost_sensitive,nsga3,170,150,False,bare,0,4.446268416999374
STU_0045,cost_sensitive,nsga3,170,150,False,bare,1,4.5080952499993145
STU_0045,cost_sensitive,nsga3,170,150,False,bare,2,4.629545999981929
STU_0045,cost_sensitive,nsga3,170,150,False,bare,3,4.371057749958709
STU_0045,cost_sensitive,nsga3,170,150,False,bare,4,4.058171792014036
STU_0045,cost_sensitive,nsga3,170,40,False,bare_truncated,0,1.729262041975744
STU_0045,cost_sensitive,nsga3,170,40,False,bare_truncated,1,1.731248416006565
STU_0045,cost_sensitive,nsga3,170,40,False,bare_truncated,2,1.6441619580145925
STU_0045,cost_sensitive,nsga3,170,40,False,bare_truncated,3,2.013500875036698
STU_0045,cost_sensitive,nsga3,170,40,False,bare_truncated,4,1.0912647090153769
